 occurs 2 times
instance occurs 3 times
called occurs 6 times
String occurs 1 times
type occurs 1 times
output occurs 1 times
that occurs 2 times
path occurs 2 times
outputFile occurs 2 times
overwritten occurs 1 times
should occurs 2 times
from occurs 1 times
text occurs 2 times
write occurs 1 times
if occurs 2 times
DuplicateRemover occurs 1 times
method occurs 2 times
in occurs 2 times
already occurs 1 times
created occurs 1 times
duplicate occurs 1 times
it occurs 2 times
an occurs 3 times
pointed occurs 1 times
exist occurs 1 times
unique occurs 1 times
Set occurs 1 times
be occurs 2 times
uniqueWords occurs 2 times
eliminate occurs 1 times
remove occurs 1 times
The occurs 2 times
not occurs 1 times
file occurs 5 times
Create occurs 3 times
and occurs 3 times
does occurs 1 times
parameter occurs 2 times
of occurs 2 times
by occurs 2 times
dataFile occurs 2 times
takes occurs 2 times
class occurs 1 times
a occurs 6 times
representing occurs 2 times
words occurs 3 times
Strings occurs 1 times
single occurs 2 times
the occurs 5 times
contained occurs 1 times
referenced occurs 1 times
stored occurs 1 times
variable occurs 1 times
exists occurs 1 times
uses occurs 1 times
to occurs 5 times
writes occurs 1 times
